lp__,treedepth__,stepsize__,alpha,beta,sigma_noise
1.48085,2,8.83221,4.69915,4.9104,13.1499
0.841196,3,8.83221,-9.37751,-8.67139,6.45865
0.369334,2,8.83221,16.4071,4.1691,10.1936
-1.51116,2,8.83221,20.7685,-11.1789,3.83365
-1.51116,0,8.83221,20.7685,-11.1789,3.83365
-1.51116,1,8.83221,20.7685,-11.1789,3.83365
1.37356,2,8.83221,6.4248,-6.04994,8.07993
1.37356,2,8.83221,6.4248,-6.04994,8.07993
1.37356,1,8.83221,6.4248,-6.04994,8.07993
-0.213501,2,8.83221,-16.4926,8.30155,5.04475
-0.213501,2,8.83221,-16.4926,8.30155,5.04475
1.55243,2,8.83221,-4.04449,-3.66078,7.0043
1.55243,1,8.83221,-4.04449,-3.66078,7.0043
1.14148,1,8.83221,-1.28396,-4.96855,3.84635
1.10451,2,8.83221,-3.69222,6.41928,4.3669
-1.26142,1,8.83221,-13.9879,2.66605,26.5592
-1.26142,2,8.83221,-13.9879,2.66605,26.5592
0.417507,1,8.83221,-6.62843,2.53443,1.99201
0.15687,1,8.83221,7.5041,8.00358,2.18723
-1.17092,2,8.83221,-0.829722,2.60325,0.322042
-1.77867,2,8.83221,1.13028,-2.53251,0.17551
-2.66491,1,8.83221,-21.5764,-11.7538,1.43893
-0.56014,2,8.83221,6.19837,-15.7774,2.47758
-0.326189,2,8.83221,2.02947,14.1232,21.881
0.0414649,2,8.83221,-5.5462,-11.8923,2.54679
0.805642,2,8.83221,-14.0592,-0.196759,10.9329
0.699166,2,8.83221,10.9942,8.87483,6.95149
0.727088,2,8.83221,-14.3614,-0.255762,12.1642
1.39931,2,8.83221,6.14009,3.01603,6.20952
0.143054,2,8.83221,6.39459,4.58768,1.59269
-1.36485,2,8.83221,7.43399,7.30801,0.440201
-3.92237,1,8.83221,18.1421,-7.40814,0.135038
-3.09142,2,8.83221,-9.37111,-16.9982,0.299038
-1.65106,2,8.83221,4.67173,20.4236,1.74886
-1.50076,2,8.83221,19.1319,-2.0844,1.43535
-0.460781,1,8.83221,8.23362,-2.82412,0.92528
0.407976,2,8.83221,-12.6916,-8.97243,6.03896
0.407976,1,8.83221,-12.6916,-8.97243,6.03896
1.06453,2,8.83221,10.6328,5.5217,8.60974
0.284129,2,8.83221,-9.65971,5.06779,2.48419
0.284129,1,8.83221,-9.65971,5.06779,2.48419
0.152735,1,8.83221,-6.23716,11.6294,2.90253
-0.88278,2,8.83221,5.48318,-10.6272,0.848601
0.659903,1,8.83221,-10.114,-7.69106,4.88678
1.72045,2,8.83221,0.762976,-0.505558,12.9104
1.72045,1,8.83221,0.762976,-0.505558,12.9104
1.72045,2,8.83221,0.762976,-0.505558,12.9104
1.72045,1,8.83221,0.762976,-0.505558,12.9104
1.68551,2,8.83221,-4.0448,2.30958,9.08711
1.68551,1,8.83221,-4.0448,2.30958,9.08711
-0.0771493,3,8.83221,10.0072,12.7422,3.68077
1.30235,2,8.83221,9.65331,2.45459,9.36046
0.75949,2,8.83221,10.4079,1.66116,17.6351
-0.275659,2,8.83221,2.3939,-17.1032,3.59779
-0.676182,2,8.83221,-3.66671,18.5837,3.221
-0.676182,1,8.83221,-3.66671,18.5837,3.221
-0.478704,1,8.83221,8.54856,15.5259,3.12968
0.246637,2,8.83221,-8.98063,-14.3569,6.73473
0.246637,1,8.83221,-8.98063,-14.3569,6.73473
1.67959,2,8.83221,3.82421,-1.49658,12.0271
1.38155,2,8.83221,-6.756,4.77579,7.33755
1.38155,1,8.83221,-6.756,4.77579,7.33755
1.73473,2,8.83221,1.13336,-1.00505,7.72734
1.5866,2,8.83221,-4.8413,0.084029,7.04035
1.22401,2,8.83221,0.43362,-10.5946,11.3072
0.962181,2,8.83221,3.50997,3.57079,3.11438
0.78395,1,8.83221,1.54307,0.638107,2.2793
-0.0596736,1,8.83221,-7.34324,7.54466,1.66258
-0.647682,2,8.83221,-0.72357,-12.6461,1.17522
0.897054,2,8.83221,1.0558,8.98083,17.71
0.897054,2,8.83221,1.0558,8.98083,17.71
0.897054,1,8.83221,1.0558,8.98083,17.71
0.897054,2,8.83221,1.0558,8.98083,17.71
0.897054,2,8.83221,1.0558,8.98083,17.71
1.48137,2,8.83221,4.8889,-2.54589,6.20939
-0.214346,2,8.83221,5.81939,-16.5379,4.07821
-0.0200646,1,8.83221,-7.11695,-13.1585,3.15394
0.9587,2,8.83221,9.50477,-8.76564,10.9074
1.3054,2,8.83221,-6.81664,-6.49697,12.4025
1.3054,2,8.83221,-6.81664,-6.49697,12.4025
0.149836,2,8.83221,13.7306,-11.8874,9.41012
1.02052,2,8.83221,-12.1552,-2.19462,8.64617
1.02052,1,8.83221,-12.1552,-2.19462,8.64617
1.02052,2,8.83221,-12.1552,-2.19462,8.64617
0.103547,2,8.83221,-4.20523,-17.8062,11.6312
0.0987368,2,8.83221,-0.704978,-18.3413,8.64271
-0.814426,2,8.83221,-12.278,-17.2069,4.59681
-2.54382,2,8.83221,18.9779,11.6081,0.937177
-4.11167,1,8.83221,21.2639,14.5319,0.45203
-1.32997,2,8.83221,8.91455,-8.10169,0.5472
0.68284,2,8.83221,-12.656,-0.231729,16.0878
0.666833,2,8.83221,14.5495,-3.69042,9.0561
0.666833,1,8.83221,14.5495,-3.69042,9.0561
0.673349,2,8.83221,9.68498,-3.50951,3.54996
-1.70521,2,8.83221,-17.246,-16.0774,3.06923
1.5043,2,8.83221,-1.14128,-7.47382,11.1373
0.430412,2,8.83221,10.9096,-3.73316,3.14093
-1.00256,2,8.83221,6.52077,-21.152,16.4523
-1.00256,2,8.83221,6.52077,-21.152,16.4523
-1.00256,2,8.83221,6.52077,-21.152,16.4523
1.4711,2,8.83221,-2.12867,-1.01552,5.09806
-0.573733,2,8.83221,11.4429,-6.91363,1.39044
0.263856,1,8.83221,4.45277,-1.95567,1.48155
0.0342261,1,8.83221,5.36518,3.19278,1.26764
0.738817,1,8.83221,0.0912046,-7.05308,2.79141
0.818797,2,8.83221,-5.46492,-7.46888,3.73087
-1.59324,2,8.83221,-4.69488,-2.20635,0.232603
-4.04715,1,8.83221,-1.68149,8.4955,0.0254219
-4.90826,1,8.83221,20.5642,9.18604,0.093306
-3.29797,2,8.83221,-20.5452,-6.8798,0.386729
0.316888,2,8.83221,3.92741,5.19606,1.72261
-2.50381,2,8.83221,0.267008,24.6911,1.75087
-1.38708,2,8.83221,13.5105,15.7237,2.19423
-1.04746,2,8.83221,-9.9508,-18.0117,3.05375
-1.15852,2,8.83221,10.4868,20.2495,16.5052
-0.0768774,1,8.83221,11.2856,15.2064,7.21853
-0.0768774,0,8.83221,11.2856,15.2064,7.21853
0.28866,1,8.83221,-3.09952,-2.32803,1.45407
0.28866,2,8.83221,-3.09952,-2.32803,1.45407
0.476791,2,8.83221,8.75381,10.9583,4.84364
1.54296,2,8.83221,2.55937,5.96172,7.87109
1.54296,2,8.83221,2.55937,5.96172,7.87109
1.63677,2,8.83221,-5.70948,-0.649564,9.73397
1.38141,2,8.83221,8.59251,-0.731429,7.86733
0.630108,1,8.83221,3.08672,-7.62423,20.1809
0.0680015,2,8.83221,4.49037,-6.68554,1.49706
0.0680015,2,8.83221,4.49037,-6.68554,1.49706
0.227783,2,8.83221,-14.6892,8.51111,13.8551
-1.76776,2,8.83221,-7.54086,17.9783,1.14942
-4.05298,2,8.83221,1.0821,-20.5704,0.144958
-4.17873,2,8.83221,-21.0931,-4.14065,0.154387
-2.94152,2,8.83221,-14.5646,-3.38224,0.161452
-1.78182,2,8.83221,-0.4343,10.7609,0.300762
-4.53727,1,8.83221,-4.81534,29.3811,0.903946
-2.83391,1,8.83221,16.4581,16.3317,0.867465
-0.421262,2,8.83221,-13.7858,2.56703,22.6122
1.23112,2,8.83221,4.14295,-8.24313,6.45689
1.23112,1,8.83221,4.14295,-8.24313,6.45689
1.27178,2,8.83221,3.25434,8.7521,13.2228
1.46032,2,8.83221,-7.4843,-0.055645,7.61917
1.46032,1,8.83221,-7.4843,-0.055645,7.61917
-0.218974,2,8.83221,-11.4161,-13.4004,4.11765
1.65407,2,8.83221,2.99214,-4.35033,9.06051
1.0014,2,8.83221,8.29267,5.61177,15.8955
1.0014,2,8.83221,8.29267,5.61177,15.8955
1.0014,2,8.83221,8.29267,5.61177,15.8955
-0.673759,2,8.83221,11.8387,-17.6626,14.9541
-0.00322107,2,8.83221,-0.974898,4.40108,1.1102
-0.00322107,2,8.83221,-0.974898,4.40108,1.1102
-0.622442,2,8.83221,10.4214,-18.935,13.1238
-0.596554,2,8.83221,15.6361,-13.2936,5.17178
0.316561,2,8.83221,-12.4978,-3.78963,18.7801
0.316561,2,8.83221,-12.4978,-3.78963,18.7801
-0.759707,2,8.83221,-13.6936,-16.5392,5.43831
0.467251,1,8.83221,-11.8962,3.80284,3.73136
0.672217,1,8.83221,1.97685,-4.49676,2.26724
0.0315189,2,8.83221,-14.8293,-8.05017,4.81044
0.0315189,1,8.83221,-14.8293,-8.05017,4.81044
1.30465,2,8.83221,-7.61105,5.33758,7.55364
1.30465,1,8.83221,-7.61105,5.33758,7.55364
-1.75964,1,8.83221,-8.4971,8.94795,0.368751
-2.59831,1,8.83221,-8.35664,-6.87227,0.133599
-1.0009,1,8.83221,-2.48601,-11.2984,0.719544
-2.77181,2,8.83221,-6.94484,13.0174,0.185775
-0.788204,2,8.83221,7.53343,-11.9403,1.24125
0.9679,2,8.83221,-5.10795,10.7918,13.673
-1.83041,2,8.83221,25.433,-5.85723,5.67727
-0.40787,2,8.83221,-12.2245,-17.0801,9.32849
0.20263,2,8.83221,4.49202,17.1024,8.15185
1.50824,2,8.83221,5.14356,1.00237,6.3362
1.50824,1,8.83221,5.14356,1.00237,6.3362
1.58744,2,8.83221,-0.583877,1.22863,14.8339
1.58744,1,8.83221,-0.583877,1.22863,14.8339
1.58744,1,8.83221,-0.583877,1.22863,14.8339
-1.67713,1,8.83221,23.2981,7.45642,4.04114
-0.124505,2,8.83221,19.452,-2.64639,10.1299
0.179817,2,8.83221,-2.67254,-17.812,9.7347
0.123737,2,8.83221,16.9499,6.95691,10.189
0.123737,1,8.83221,16.9499,6.95691,10.189
0.512894,2,8.83221,-11.4468,-6.70959,16.9556
1.23098,2,8.83221,10.4575,2.19977,9.75369
-1.06667,1,8.83221,12.4896,10.6818,1.34013
-1.4349,2,8.83221,-2.06848,3.74519,0.261052
0.294193,2,8.83221,3.02377,-0.661314,1.42221
