# Samples Generated by Stan
#
# stan_version_major=1
# stan_version_minor=2
# stan_version_patch=0
# data=linear_model.data.R
# init=random initialization
# append_samples=0
# save_warmup=0
# seed=2575924837
# chain_id=1
# iter=2000
# warmup=1000
# thin=1
# nondiag_mass=0
# equal_step_sizes=0
# leapfrog_steps=-1
# max_treedepth=10
# epsilon=-1
# epsilon_pm=0
# delta=0.5
# gamma=0.05
#
lp__,treedepth__,stepsize__,alpha,beta,sigma_noise
# (mcmc::nuts_diag) adaptation finished
# step size=7.45438
# parameter step size multipliers:
# 0.269844,1.70439,0.14908
1.01786,2,7.45438,0.185433,-3.09904,9.09815
1.01786,0,7.45438,0.185433,-3.09904,9.09815
0.969123,1,7.45438,-0.00835434,0.823791,6.55897
0.969123,1,7.45438,-0.00835434,0.823791,6.55897
0.969123,2,7.45438,-0.00835434,0.823791,6.55897
0.126642,1,7.45438,-0.780152,1.4333,8.28458
0.0611861,2,7.45438,0.687182,5.26496,15.5575
1.07654,2,7.45438,-0.135062,-0.845602,11.0579
1.07654,1,7.45438,-0.135062,-0.845602,11.0579
1.07654,1,7.45438,-0.135062,-0.845602,11.0579
0.235452,2,7.45438,-0.662072,3.71396,5.68821
0.235452,1,7.45438,-0.662072,3.71396,5.68821
0.235452,1,7.45438,-0.662072,3.71396,5.68821
-3.0965,2,7.45438,-0.676736,23.516,2.75772
-1.66747,2,7.45438,0.585363,-21.6597,11.0128
-0.474987,2,7.45438,-0.340061,16.824,7.9437
-1.18034,1,7.45438,-0.23636,5.12147,0.744149
-0.161065,2,7.45438,0.595273,-12.2915,12.8691
-0.161065,2,7.45438,0.595273,-12.2915,12.8691
-0.592228,1,7.45438,0.0611079,-17.3591,14.6493
-0.592228,1,7.45438,0.0611079,-17.3591,14.6493
0.421191,2,7.45438,-0.669935,-4.24967,10.0496
0.647015,2,7.45438,-0.241551,8.91123,9.30397
0.647015,1,7.45438,-0.241551,8.91123,9.30397
-1.29465,1,7.45438,-0.411764,20.1863,6.1031
-0.043876,1,7.45438,0.196304,14.9103,10.4763
0.898563,2,7.45438,-0.0598075,4.49323,6.93697
-0.456639,2,7.45438,-0.67475,-9.45058,17.8176
-0.766496,2,7.45438,0.651534,4.89686,1.85596
-2.19075,1,7.45438,-0.61031,-13.2988,0.867875
-2.74453,1,7.45438,-0.855902,-15.8925,1.73156
-7.21501,3,7.45438,0.9998,7.5257,14.9245
-5.46871,1,7.45438,0.999265,0.828064,7.92368
-5.46871,1,7.45438,0.999265,0.828064,7.92368
-5.46871,2,7.45438,0.999265,0.828064,7.92368
-6.1424,2,7.45438,0.999379,1.06921,3.75474
-1.70412,2,7.45438,0.966249,0.024733,7.07557
0.830483,2,7.45438,0.47915,0.859695,8.87032
0.182218,2,7.45438,-0.480693,11.4539,10.8694
0.520538,2,7.45438,0.480187,-4.80331,5.82331
0.520538,1,7.45438,0.480187,-4.80331,5.82331
0.688999,2,7.45438,-0.27917,4.62955,15.1447
0.688999,1,7.45438,-0.27917,4.62955,15.1447
0.598354,2,7.45438,0.402852,-2.25788,5.07047
0.598354,1,7.45438,0.402852,-2.25788,5.07047
-0.0658302,2,7.45438,0.825475,0.121185,8.37776
-0.0658302,1,7.45438,0.825475,0.121185,8.37776
-0.0658302,1,7.45438,0.825475,0.121185,8.37776
-0.593399,2,7.45438,-0.827514,-9.64574,7.32246
0.020655,2,7.45438,0.547857,-4.11302,18.8731
0.020655,1,7.45438,0.547857,-4.11302,18.8731
0.842474,1,7.45438,0.339389,-0.48175,6.4908
0.527963,2,7.45438,0.294231,3.7659,4.39019
-1.29819,2,7.45438,0.51581,10.515,1.306
-1.34674,2,7.45438,-0.403023,1.4881,0.62972
0.402422,2,7.45438,0.400931,-7.36406,5.41654
0.836045,2,7.45438,0.385868,4.7164,10.1441
0.231065,1,7.45438,0.566319,6.28231,15.8204
0.233483,2,7.45438,0.473655,-8.32483,15.6234
0.233483,2,7.45438,0.473655,-8.32483,15.6234
0.327263,2,7.45438,-0.472614,6.32907,4.9351
